UF;Município;DSVACINAmn;Distribuída aos Municípios
AC;Acrelândia;BUTANTAN/SINOVAC;4220
AC;Acrelândia;FIOCRUZ/ASTRAZENECA;7980
AC;Acrelândia;JANSSEN (JOHNSON & JOHNSON);420
AC;Acrelândia;PFIZER/BIONTECH;5988
AC;Assis Brasil;BUTANTAN/SINOVAC;3788
AC;Assis Brasil;FIOCRUZ/ASTRAZENECA;4965
AC;Assis Brasil;JANSSEN (JOHNSON & JOHNSON);180
AC;Assis Brasil;PFIZER/BIONTECH;4710
AC;Brasiléia;BUTANTAN/SINOVAC;6268
AC;Brasiléia;FIOCRUZ/ASTRAZENECA;12495
AC;Brasiléia;JANSSEN (JOHNSON & JOHNSON);350
AC;Brasiléia;PFIZER/BIONTECH;17724
AC;Bujari;BUTANTAN/SINOVAC;3020
AC;Bujari;FIOCRUZ/ASTRAZENECA;7445
AC;Bujari;JANSSEN (JOHNSON & JOHNSON);350
AC;Bujari;PFIZER/BIONTECH;6642
AC;Capixaba;BUTANTAN/SINOVAC;4904
AC;Capixaba;FIOCRUZ/ASTRAZENECA;8415
AC;Capixaba;JANSSEN (JOHNSON & JOHNSON);1050
AC;Capixaba;PFIZER/BIONTECH;3294
AC;Cruzeiro Do Sul;BUTANTAN/SINOVAC;23520
AC;Cruzeiro Do Sul;FIOCRUZ/ASTRAZENECA;49375
AC;Cruzeiro Do Sul;JANSSEN (JOHNSON & JOHNSON);1500
AC;Cruzeiro Do Sul;PFIZER/BIONTECH;70314
AC;Epitaciolândia;BUTANTAN/SINOVAC;5084
AC;Epitaciolândia;FIOCRUZ/ASTRAZENECA;9040
AC;Epitaciolândia;JANSSEN (JOHNSON & JOHNSON);450
AC;Epitaciolândia;PFIZER/BIONTECH;8754
AC;Feijó;BUTANTAN/SINOVAC;12810
AC;Feijó;FIOCRUZ/ASTRAZENECA;22200
AC;Feijó;JANSSEN (JOHNSON & JOHNSON);750
AC;Feijó;PFIZER/BIONTECH;12084
AC;Jordão;BUTANTAN/SINOVAC;6469
AC;Jordão;FIOCRUZ/ASTRAZENECA;2005
AC;Jordão;JANSSEN (JOHNSON & JOHNSON);80
AC;Jordão;PFIZER/BIONTECH;4266
AC;Mâncio Lima;BUTANTAN/SINOVAC;8978
AC;Mâncio Lima;FIOCRUZ/ASTRAZENECA;11995
AC;Mâncio Lima;JANSSEN (JOHNSON & JOHNSON);550
AC;Mâncio Lima;PFIZER/BIONTECH;6672
AC;Manoel Urbano;BUTANTAN/SINOVAC;2902
AC;Manoel Urbano;FIOCRUZ/ASTRAZENECA;5425
AC;Manoel Urbano;JANSSEN (JOHNSON & JOHNSON);390
AC;Manoel Urbano;PFIZER/BIONTECH;6306
AC;Marechal Thaumaturgo;BUTANTAN/SINOVAC;10323
AC;Marechal Thaumaturgo;FIOCRUZ/ASTRAZENECA;7955
AC;Marechal Thaumaturgo;JANSSEN (JOHNSON & JOHNSON);530
AC;Marechal Thaumaturgo;PFIZER/BIONTECH;4776
AC;Plácido De Castro;BUTANTAN/SINOVAC;4636
AC;Plácido De Castro;FIOCRUZ/ASTRAZENECA;11650
AC;Plácido De Castro;JANSSEN (JOHNSON & JOHNSON);300
AC;Plácido De Castro;PFIZER/BIONTECH;12420
AC;Porto Acre;BUTANTAN/SINOVAC;5816
AC;Porto Acre;FIOCRUZ/ASTRAZENECA;12750
AC;Porto Acre;JANSSEN (JOHNSON & JOHNSON);1540
AC;Porto Acre;PFIZER/BIONTECH;6396
AC;Porto Walter;BUTANTAN/SINOVAC;7461
AC;Porto Walter;FIOCRUZ/ASTRAZENECA;6270
AC;Porto Walter;JANSSEN (JOHNSON & JOHNSON);230
AC;Porto Walter;PFIZER/BIONTECH;3552
AC;Rio Branco;BUTANTAN/SINOVAC;93884
AC;Rio Branco;FIOCRUZ/ASTRAZENECA;203350
AC;Rio Branco;JANSSEN (JOHNSON & JOHNSON);11550
AC;Rio Branco;PFIZER/BIONTECH;301566
AC;Rodrigues Alves;BUTANTAN/SINOVAC;7886
AC;Rodrigues Alves;FIOCRUZ/ASTRAZENECA;7710
AC;Rodrigues Alves;JANSSEN (JOHNSON & JOHNSON);630
AC;Rodrigues Alves;PFIZER/BIONTECH;5478
AC;Santa Rosa Do Purus;BUTANTAN/SINOVAC;2688
AC;Santa Rosa Do Purus;FIOCRUZ/ASTRAZENECA;2960
AC;Santa Rosa Do Purus;JANSSEN (JOHNSON & JOHNSON);530
AC;Santa Rosa Do Purus;PFIZER/BIONTECH;1296
AC;Sena Madureira;BUTANTAN/SINOVAC;10416
AC;Sena Madureira;FIOCRUZ/ASTRAZENECA;22000
AC;Sena Madureira;JANSSEN (JOHNSON & JOHNSON);1190
AC;Sena Madureira;PFIZER/BIONTECH;24486
AC;Senador Guiomard;BUTANTAN/SINOVAC;7098
AC;Senador Guiomard;FIOCRUZ/ASTRAZENECA;15790
AC;Senador Guiomard;JANSSEN (JOHNSON & JOHNSON);1630
AC;Senador Guiomard;PFIZER/BIONTECH;10674
AC;Tarauacá;BUTANTAN/SINOVAC;12851
