id_municipio;pop_acima60
110001; 2.806 
110002; 10.330 
110003; 723 
110004; 10.179 
110005; 2.051 
110006; 2.294 
110007; 841 
110008; 1.302 
110009; 3.589 
110010; 4.220 
110011; 5.924 
110012; 14.403 
110013; 3.801 
110014; 2.425 
110015; 4.516 
110018; 3.793 
110020; 43.949 
110025; 2.753 
110026; 442 
110028; 5.953 
110029; 860 
110030; 9.559 
110032; 2.317 
110033; 2.558 
110034; 1.883 
110037; 1.380 
110040; 2.155 
110045; 4.187 
110050; 1.174 
110060; 801 
110070; 1.286 
110080; 2.354 
110090; 411 
110092; 741 
110094; 1.570 
110100; 968 
110110; 1.041 
110120; 1.118 
110130; 1.523 
110140; 1.859 
110143; 789 
110145; 563 
110146; 213 
110147; 397 
110148; 819 
110149; 2.143 
110150; 1.353 
110155; 619 
110160; 1.396 
110170; 1.558 
110175; 1.377 
110180; 872 
120001; 1.351 
120005; 559 
120010; 2.394 
120013; 1.048 
120017; 1.115 
120020; 6.778 
120025; 1.709 
120030; 2.203 
120032; 209 
120033; 1.480 
120034; 617 
120035; 699 
120038; 2.033 
120039; 420 
120040; 35.201 
120042; 934 
120043; 168 
120045; 2.375 
120050; 3.375 
120060; 2.646 
120070; 1.813 
120080; 2.020 
130002; 815 
130006; 570 
130008; 819 
130010; 1.185 
130014; 1.669 
130020; 921 
130030; 3.255 
130040; 2.076 
130050; 2.247 
130060; 2.525 
130063; 1.277 
130068; 1.228 
130070; 2.867 
130080; 2.929 
130083; 898 
130090; 1.383 
130100; 1.947 
130110; 3.001 
130115; 2.659 
130120; 5.474 
130130; 1.735 
130140; 2.359 
130150; 1.157 
130160; 1.269 
130165; 888 
130170; 4.115 
130180; 1.542 
130185; 4.160 
130190; 8.805 
130195; 409 
130200; 808 
130210; 95 
130220; 737 
130230; 900 
130240; 3.323 
130250; 7.730 
130255; 2.051 
130260; 185.241 
130270; 3.943 
130280; 779 
130290; 4.697 
130300; 1.844 
130310; 2.517 
130320; 1.530 
130330; 1.974 
130340; 9.807 
130350; 1.020 
130353; 2.881 
130356; 2.731 
130360; 1.314 
130370; 1.197 
130380; 3.588 
130390; 2.637 
130395; 776 
130400; 797 
130406; 4.107 
130410; 1.520 
130420; 4.150 
130423; 933 
130426; 776 
130430; 1.520 
130440; 1.716 
140002; 706 
140005; 1.300 
140010; 29.108 
140015; 1.084 
140017; 1.712 
140020; 1.550 
140023; 765 
140028; 820 
140030; 1.496 
140040; 640 
140045; 1.055 
140047; 2.097 
140050; 530 
140060; 667 
140070; 441 
150010; 14.683 
150013; 760 
150020; 4.338 
150030; 2.557 
150034; 1.480 
150040; 5.558 
150050; 2.913 
150060; 10.715 
150070; 1.736 
150080; 55.547 
150085; 1.863 
150090; 3.697 
150095; 2.444 
150100; 1.618 
150110; 1.504 
150120; 3.462 
150125; 449 
150130; 9.018 
150140; 199.150 
150145; 2.050 
150150; 5.383 
150157; 1.652 
150160; 1.188 
150170; 11.543 
150172; 1.751 
150175; 850 
150178; 5.114 
150180; 7.805 
150190; 2.344 
150195; 1.538 
150200; 2.212 
150210; 11.718 
150215; 1.738 
150220; 7.909 
150230; 5.082 
150240; 18.654 
150250; 1.740 
150260; 1.522 
150270; 6.168 
150275; 2.502 
150276; 842 
150277; 2.431 
150280; 1.979 
150285; 1.009 
150290; 4.699 
150293; 4.259 
150295; 3.023 
150300; 704 
150304; 1.784 
150307; 2.298 
150309; 2.892 
150310; 2.225 
150320; 4.332 
150330; 5.661 
