id_municipio,qtd_primeirasdoses
4121208,15015
3304904,670119
2509057,6867
2510808,86978
2708600,40172
2705903,3035
4314407,278846
4307609,38872
4311205,15912
4309209,215830
4315602,162097
3118809,18963
4204806,33301
4208906,138124
3106705,343897
2607653,24700
5200209,1627
5201603,4079
5210406,37513
5218805,171970
5200134,16946
3144805,89431
3139409,70160
2931202,12996
2927408,2213962
2913606,112762
2905206,42322
2920700,16024
4106902,1575753
4109401,140613
2101301,9889
4316105,7861
4301602,101526
2908002,14416
2928604,45943
3132503,26111
3111200,43901
4215000,31983
4209102,469536
4204608,180254
2112902,19840
2109908,60668
2105302,196045
2102903,14391
2209971,6582
1502806,20302
5108055,7910
2920601,32071
2912400,13417
2919207,171561
2929404,8058
4300406,61616
4304630,51039
5208905,19396
5208608,59760
2924603,13370
3131901,45942
3143906,89158
2612471,9690
4219507,39266
4215406,3691
5005707,39657
3550308,11095488
3552502,451138
3540705,46407
3101508,26721
3119401,74456
3136504,6580
3304524,107413
3302403,163785
3302452,7182
1302603,1656414
1303007,14004
5103304,12488
5107602,199784
5105606,12739
2918407,142407
3541406,208472
3506003,317364
3522703,34474
3505609,25926
3518701,262815
1501501,49903
1504000,19424
1501709,90031
1507458,14577
1702109,132505
1715259,1764
1706258,1416
1716653,3898
3305109,240654
5221403,100445
4202800,28494
4205704,23805
2612406,14844
2606804,86566
2610608,42633
3301405,19313
4104907,61645
4123907,9660
1505908,18353
1508126,16533
1507706,16162
3169604,22077
3117405,3455
2307007,20591
3106655,3684
3125903,8269
4210100,46154
4217204,36068
4217006,11185
4204178,3079
4208104,17256
4209458,1333
4210506,22295
4206009,14183
4203808,43349
4311809,35012
4318804,36113
2920205,8253
2910503,31634
2923605,16608
2903300,4760
3556503,96140
3517000,9531
3534708,90775
3540200,31195
3524303,63491
3551009,284772
3507506,138628
3519709,65717
3556206,103560
3138609,14296
3150505,7317
3139508,17749
3172004,33221
3129301,7956
3140001,52165
1100189,28293
5205406,17774
5215306,13314
3547106,2705
3550704,75614
3508603,27148
4105102,8691
3528502,76519
3537107,39296
4306767,31326
4310876,1961
4302808,28420
3525300,116196
3501608,200101
3549102,80249
3503208,206651
2614105,25265
2616407,105470
2601706,61284
1506500,49571
2202208,36919
2207603,7381
2201919,4689
2208106,8254
4219853,3190
4203709,9109
3304201,112677
3525854,3021
3203007,23049
3200359,6076
3171303,68004
3116605,25087
3140159,12307
3136579,2678
3110509,20175
3201902,31664
3204005,16254
3202306,24139
2501807,68980
2508901,31796
2503902,5138
3502101,49360
5203401,6925
5213103,52324
5220108,27193
4108908,5816
4319901,62717
4306429,3566
2709152,29030
2707701,66865
4300802,11477
4304200,23945
4306403,25006
4304903,7879
3304300,45340
2706307,53272
2701506,6208
2929909,36328
2919926,15668
2930709,84971
2919405,9793
4205308,9193
1302801,6844
4120200,2750
4119152,109351
4125704,22783
4102901,13525
3140555,6141
3141009,10653
3149903,17348
5107065,15807
5105622,19815
5106752,32922
3103504,99546
3129004,6845
3302304,5902
4301057,9672
4315958,2050
2928802,39173
2932903,61651
1503309,43341
1502707,31013
1500602,77849
5206503,3320
4128203,44745
4113502,18878
4105904,19356
4119905,277168
4112801,10090
3128006,27045
3170057,8935
3156106,4164
3165305,6056
5218102,3094
5222005,11711
5212204,16157
2917508,62959
3547304,125588
4126009,6775
2112803,32429
2103406,29952
2107506,79187
2101707,39542
2102325,31937
5102793,7567
4322806,20325
3535804,16925
2930808,12985
2900207,14087
2932606,12313
2922102,14592
2913002,11655
3519907,6819
4124053,18399
4306601,30209
4321204,41793
4300646,6285
5003207,82833
5103957,2441
2400208,40086
2414506,7225
2409704,26495
2414704,3889
2404606,9519
4102604,7974
1300706,19820
1303700,8501
2301000,17558
4304663,19947
4321105,13103
4322301,7343
2100600,17763
1701002,6536
1700301,3970
1703842,5210
1705607,3046
1706506,3850
4124707,8467
4118006,11019
1506351,16369
1508035,20244
2611408,10181
2608305,12106
3514403,39281
1505486,18177
1507151,13321
3130903,18276
3151404,20803
5219712,3741
5215207,2664
3508108,14619
3520004,19773
3529708,17212
3541802,2887
2514206,6250
2517001,7408
2512002,13873
2911402,11715
1100049,72296
1100148,12991
1100098,22762
2209807,3793
4218509,6276
4212700,5185
4205209,4117
1500859,13187
1504752,13997
1505064,24129
2924652,7410
2906709,18517
3102902,9068
3101607,63993
3164407,4835
3160702,35076
3169802,9072
3135209,46551
3137601,48271
3204559,34576
3200805,25091
5105507,11274
5100359,4095
2706448,10268
2706802,11774
3166204,7959
3143500,9498
3108008,14539
3110004,32112
3134202,82120
4323101,3632
4312302,4002
4112108,18207
3506102,65963
3502804,169057
5006200,40808
5001102,37357
2615003,18405
2606705,6164
3531803,54750
4321352,4558
4312252,6275
3136652,23582
2208403,51541
3520905,11487
3500600,3567
3515905,2566
3122405,5028
1200104,16326
1200252,10399
1200351,10657
1200385,11511
1200427,8141
1715754,5570
2504033,4932
2515500,10783
2500205,4218
2805505,16848
2802106,48111
2805109,6570
2803203,26424
2804508,29387
4109658,4281
2414209,11936
2404309,9352
4312138,2109
4320701,11923
2707800,4690
2700706,12164
2708204,4908
3549409,43858
5004908,5286
5007935,12379
2105989,4835
2105401,43841
2930204,27180
2905008,20779
2105906,7390
3108107,6830
3143450,5200
3140704,28878
5007950,7814
1101005,6427
1100015,17568
1100254,16253
5215009,7461
5212907,2041
5220603,16987
3160108,3724
3126950,2993
3505807,19012
3500303,28799
3553203,5699
3519303,28305
3203601,4901
3200136,8500
3203130,13151
3205010,21221
3205036,16682
2603207,18812
2506251,6871
2505204,4926
4110706,49277
4103404,2319
3554904,5526
3127602,9425
3103900,7348
3517406,35098
2708956,8119
2703601,5127
3520301,25422
3531506,16997
2511608,5921
2515005,5565
2507002,18710
2104099,11222
3203403,20676
4323457,3709
3553906,5941
3134004,10232
3123809,5668
3153400,14940
3545001,14965
3502754,18353
3554953,5708
3549201,2246
2204204,6120
3130804,2398
3124500,9648
3132107,11811
3546900,6412
3535002,9902
3550209,29464
3511409,19432
1301852,42335
2807501,8639
2600054,76864
2600401,18432
3553708,45893
3521507,6907
3540101,3100
3503109,5567
3517802,6675
2609907,47958
2610004,43284
3517901,8841
3546306,25261
3516853,4117
2205953,6578
2200400,34793
2206506,6353
2203305,11503
2206753,3993
3145851,4296
3148608,12199
3306156,8364
3521804,22559
3112802,7394
3130051,7035
5107941,7400
3514700,9504
1200328,5401
5004700,22177
4114302,22111
4107405,4927
4103453,15592
4123857,7983
4124004,4687
4103370,3076
2616209,14922
4111803,32846
4122206,25962
4128609,6984
1400209,10715
2508109,3763
2501005,12992
3504800,7700
3527603,10895
2509909,7016
2507101,14403
3201605,24864
4112009,27020
1400472,17858
2111532,6510
2108058,10127
3553302,18038
3512100,5751
2101905,12518
2105476,6656
2108603,57815
3144607,21882
2112308,21700
2106409,10179
2109502,13338
2703106,20404
3146750,5271
3126752,4160
3108206,4423
3133303,15972
4110052,1861
3536000,10557
3153806,1979
2503100,4262
5100409,9100
5104906,6283
5107859,11181
3155900,4259
5204953,3138
1600808,8342
2206209,24134
2206803,6563
3101904,15747
1503903,34342
4114708,4739
4110607,12230
3140209,2879
3533601,6532
3141108,31689
3114006,9568
3105509,4454
3146206,4716
4117107,10660
3525706,30941
4322707,21564
2801108,3371
2801207,20369
2614709,10291
2205805,18605
2204006,3864
1303106,13694
2310704,4934
3135308,3761
3544251,14613
2602407,7959
3102100,9499
3105400,26102
4318481,3817
4104451,9574
2800100,1818
3534500,2214
3162609,6121
5204409,12042
3532157,3800
2605152,13502
2514008,3474
3145877,6256
3139904,11459
4120705,7154
3543808,7932
4119202,5565
2100105,5960
2205151,4628
2902005,10073
1600204,6584
1600535,11175
3523305,11175
2909109,11930
2615904,6456
3103108,1610
3163805,5933
3113503,7476
3126208,5807
3121258,7776
3148905,3581
3302601,36194
4322533,8669
3534807,6586
4322004,22941
4306734,3944
4301800,4127
4303202,4309
4313102,5072
3550506,7080
3131505,8132
3106606,3724
2903276,12003
3519105,9425
3304102,13895
4106407,39725
3512605,5193
3170750,6051
3514809,11503
4128708,5693
4107504,10764
4200200,8448
4215703,21880
4313441,1815
2609709,15982
5216403,8997
4214409,5072
4217402,13884
4202206,7606
3506805,9525
3556107,12135
2305506,16831
2104206,9966
2706604,4975
2932457,10382
2313609,11533
4310439,5521
4315354,3454
4210209,2619
2405009,6242
2409209,2504
4210704,2084
2209872,4473
3127404,3742
2308005,6355
1303304,11243
3132008,3411
2925956,16746
2902302,7061
2930774,18843
3546207,3829
5106208,3310
5103379,7659
2102606,10534
2100501,7485
2104073,5139
4128401,9427
2402303,18953
2407500,6620
3154903,10455
3157336,6244
1716604,7296
1500958,14304
4317707,8753
2925006,17163
2923001,20506
2305266,3229
2300309,9046
2103109,7287
2201176,3306
2204709,11753
2203271,3455
1100320,14686
2901809,7633
2304103,48758
3539103,15858
5215702,24896
4208005,5745
4211009,8389
4215208,4140
4202156,2319
4123501,21732
2904753,14985
2908200,16935
4207809,8304
3515657,1605
2104651,5442
2104008,11134
4216057,5680
4204558,11352
4301750,4987
3508207,3656
2411403,9945
2405405,4619
2500106,7431
2507804,5282
2101772,5928
2209609,2562
2605608,16874
2303659,3531
4124905,4770
5203906,8682
2909604,9927
2921054,8667
4209805,2948
4304002,4128
2902906,15576
2922201,7799
3134806,5249
4117404,2838
4321857,3876
2413508,2750
2412708,4646
2401305,10607
2406601,7169
4107124,2659
2509156,5391
2506806,14456
2503308,7748
2609105,9287
2202711,3960
4305603,2902
1506906,4399
2105658,3632
4314472,3373
4202859,3122
2909703,11467
5221304,2601
3135357,6735
3157708,12899
2915700,5071
4310702,2898
4315321,2435
5213509,5343
2922409,16401
4110508,11784
2513984,3178
3138005,5597
4107751,6690
5213707,6773
2508604,9716
1506559,14112
1503044,8820
4113106,4093
2905503,9592
4109302,10996
5213053,2041
3148301,7431
3168903,5897
2307809,3597
2304236,2689
2921401,12238
4316006,18152
5004304,14920
1504976,8956
5203104,2897
2916856,11526
2911659,6387
4103354,4470
1701309,3803
1704105,1627
1718808,3092
4301552,3064
2307502,10151
4308300,8168
2906857,8739
2300408,3714
2307908,1839
2408409,4421
2916005,15049
4118303,2181
2407203,386
2406304,8146
4322541,4674
2412104,5058
5208400,9605
2514305,4405
4312807,4596
2924306,15488
4116505,1276
4216354,3533
3130556,4987
4107553,2698
5108857,3245
4308433,2099
3167905,3736
3136108,3814
3139201,13796
5206602,2480
5215256,3480
3155603,20596
1501758,4940
3128808,6292
3110806,2892
3514601,8670
5105234,3959
4101903,12129
4108205,6225
3513306,3194
3156502,3407
1100601,3610
4304358,8446
4128534,8293
4106571,3476
3301157,9389
4100707,7639
2203206,8945
3140530,6349
2902658,10061
4121802,9952
4113429,3431
1300029,9400
1505551,3475
3104452,4169
4215604,1904
4312708,10773
4219408,3417
2301109,10935
2309003,4499
2102408,7591
2109205,8040
3107000,2211
3171154,4323
2925402,6334
5215801,2049
4205431,2282
4305371,2713
2209500,3000
3523800,6603
2304277,1301
4319356,3217
4313086,2236
3117900,9630
4100202,5340
4310900,3035
5005806,11033
5209408,3455
5202809,2256
3120151,3639
3149200,3041
3112109,4227
2200954,2032
2105609,8973
3527256,2495
1506112,8361
3100500,7368
5007307,4397
3129657,3724
4319158,6178
4322343,1796
3108701,3701
5204656,2555
2506608,4881
2501534,3862
4320578,1714
3121803,6054
3149002,2373
4103800,7102
2402808,4123
4123824,3091
2615607,21825
2510501,3080
2310902,3349
3166907,6247
3146404,3815
2209906,5130
2209005,4999
3144375,2998
3156452,3295
2704807,9606
2805000,2333
4100806,7914
5107297,2464
4120150,2713
3528908,3095
3535903,3623
2915908,5481
2916906,8690
2207850,2982
2210953,2338
3154150,5140
3536307,12288
3541653,3200
2209377,3991
3503356,1805
3547908,6268
1101450,3099
2806404,5223
3135704,5082
5205059,2710
2304350,4267
4212254,7555
5210307,2216
4300851,3512
2918209,11072
4320552,5422
3107802,10631
2401859,4534
4301875,3061
2111631,3159
4305871,2343
3539004,9423
4208401,14076
2207751,3070
2209351,3310
2103158,4710
2514552,2852
4300703,4961
2907400,3101
4322350,1073
